NOMCOM	NOMCIEN	CODESP	LAT	LON
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26553333	-75.5705
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26543333	-75.5703
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26515	-75.57025
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.2652	-75.5701833
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26516667	-75.5702333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26515	-75.5702
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26513333	-75.5702167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26511667	-75.5700667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26508333	-75.5700167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26536667	-75.5700333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26503333	-75.5697833
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26501667	-75.5697333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26533333	-75.5692333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26481667	-75.5689333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26501667	-75.5688333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26528333	-75.56855
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26523333	-75.5683333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26521667	-75.5682167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26623333	-75.5672667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26971667	-75.5673333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26985	-75.56785
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27	-75.5683167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27011667	-75.5686333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27013333	-75.56865
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27013333	-75.5686667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27031667	-75.5692667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27023333	-75.5701667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26978333	-75.5702167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26948333	-75.57035
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26945	-75.5703667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26936667	-75.5703667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26918333	-75.5703167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26838333	-75.5701833
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26795	-75.57055
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26676667	-75.5709
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26556667	-75.5681
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26545	-75.5677667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26581667	-75.5676667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.2658	-75.5675667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.2663	-75.5674667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26633333	-75.56745
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26643333	-75.5677167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26785	-75.5671
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26978333	-75.5679167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27	-75.5685667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27003333	-75.5686667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27006667	-75.5687333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.27021667	-75.5691333
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26813333	-75.569
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26833333	-75.5689167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26851667	-75.5685667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26758333	-75.5678167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26753333	-75.5677667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26773333	-75.5683667
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26783333	-75.5684
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26791667	-75.5689
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26781667	-75.5687833
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.2671	-75.5684167
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.2671	-75.5684
Tulipán_africano	Spathodea_campanulata_Beaw.	SPACAM	6.26586667	-75.5690833
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.2653	-75.5682167
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26553333	-75.56785
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.2655	-75.5676167
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26586667	-75.5675
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.2659	-75.5674833
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26973333	-75.5676667
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.2686	-75.5696667
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26603333	-75.5709333
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.266	-75.5709667
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.2659	-75.5708333
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26528333	-75.5691833
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26493333	-75.569
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26478333	-75.5684167
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26481667	-75.5683667
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26491667	-75.56825
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26498333	-75.5677
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.27038333	-75.5694
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26833333	-75.5706
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26825	-75.5705333
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26796667	-75.5705333
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26745	-75.5705833
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.2672	-75.57075
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26705	-75.5708167
Guayacán_amarillo	Tabebuia_chrysantha	TABCHR	6.26681667	-75.5707
